alpha,floor,recall,annoyance,judith_force,rec_at_risk,pareto
0.05,0.05,0.9142,0.0578,0.3,0.4566,False
0.05,0.1,0.9142,0.0578,0.3,0.4566,False
0.05,0.15,0.8892,0.0429,0.32,0.4559,False
0.05,0.2,0.8458,0.031,0.3167,0.4449,False
0.05,0.25,0.7233,0.022,0.2583,0.4307,False
0.1,0.05,0.9208,0.0542,0.3467,0.4892,True
0.1,0.1,0.9208,0.0542,0.3467,0.4892,True
0.1,0.15,0.9075,0.0433,0.3533,0.4781,True
0.1,0.2,0.8808,0.0295,0.3317,0.4688,True
0.1,0.25,0.8333,0.0177,0.2367,0.4634,False
0.15,0.05,0.9183,0.0552,0.3633,0.4989,False
0.15,0.1,0.9183,0.0552,0.3633,0.4989,False
0.15,0.15,0.9058,0.0423,0.355,0.5045,True
0.15,0.2,0.8758,0.0161,0.2717,0.4985,True
0.15,0.25,0.8475,0.0137,0.205,0.4816,False
0.2,0.05,0.9108,0.0525,0.3483,0.5065,True
0.2,0.1,0.9108,0.0525,0.3483,0.5065,True
0.2,0.15,0.8983,0.0427,0.3233,0.512,False
0.2,0.2,0.8717,0.0141,0.235,0.5093,True
0.2,0.25,0.85,0.0115,0.1617,0.507,True
0.25,0.05,0.8975,0.055,0.3117,0.5019,False
0.25,0.1,0.8975,0.055,0.3117,0.5019,False
0.25,0.15,0.8833,0.0425,0.29,0.5148,False
0.25,0.2,0.8492,0.0124,0.1867,0.5181,False
0.25,0.25,0.8225,0.0093,0.115,0.5145,True
